respondent_id,survey_wave,city_tier,region,vehicle_type,vehicle_age_years,e20_factory_compatible,monthly_fuel_spend_inr,experienced_mileage_drop,mileage_drop_bucket,experienced_repair_wear_increase,govt_e20_handling_sentiment,wants_e0_e10_choice_back,prior_awareness_of_separator_devices,price_point_shown_inr,purchase_likelihood_1to5,nps_0to10,preferred_payment_mode,primary_motivator,household_income_bucket
R100000,Wave 1 - Jul 2026,Tier-2,West,Hatchback,4.5,No,2673,No,None noticed,No,Disastrous,Yes,No,3999,2,4,No-cost EMI (installments),Restore lost mileage,₹6-10L
R100001,Wave 2 - Jul 2026,Tier-1,West,SUV,3.4,No,6192,Yes,10-15%,Yes,Positive,Yes,No,4499,5,9,Subscription (device+cartridges bundled),Restore lost mileage,₹6-10L
R100002,Wave 1 - Jul 2026,Tier-3,East,Sedan,1.9,Yes,4224,Yes,10-15%,No,Disastrous,No,No,3999,5,9,One-time payment,Save money long-term vs additives,₹10-20L
R100003,Wave 1 - Jul 2026,Tier-2,West,SUV,2.7,No,7249,No,None noticed,No,Positive,No,No,4499,1,0,One-time payment,Not sure / still skeptical,<₹3L
R100004,Wave 1 - Jul 2026,Metro,North,SUV,1.6,Yes,5952,No,None noticed,No,Neutral/Mixed,No,No,3999,4,7,No-cost EMI (installments),Environmental/fuel-quality concern,<₹3L
R100005,Wave 1 - Jul 2026,Tier-3,North,Two-wheeler,4.3,No,1673,Yes,15%+,No,Neutral/Mixed,No,Yes,5999,4,7,No-cost EMI (installments),Protect engine/seals from damage,₹3-6L
R100006,Wave 2 - Jul 2026,Tier-2,West,Hatchback,0.9,Yes,3279,Yes,10-15%,No,Positive,No,No,5999,3,5,No-cost EMI (installments),Restore lost mileage,₹3-6L
R100007,Wave 1 - Jul 2026,Tier-2,South,Two-wheeler,8.6,No,1050,Yes,10-15%,Yes,Ineffective,No,No,3999,4,6,No-cost EMI (installments),Save money long-term vs additives,₹6-10L
R100008,Wave 1 - Jul 2026,Metro,South,Two-wheeler,7.5,No,1246,Yes,10-15%,No,Positive,No,Yes,5999,4,7,No-cost EMI (installments),Save money long-term vs additives,₹10-20L
R100009,Wave 2 - Jul 2026,Tier-1,South,Commercial/Fleet,4.6,No,23643,Yes,5-10%,Yes,Ineffective,Yes,No,3999,5,7,One-time payment,Restore lost mileage,>₹20L
