component,category,unit_cost_inr,notes
Injection-molded housing & chamber body,BOM,260,"Chemical-resistant PC/PP, Pune/Chennai ancillary sourcing"
Separation chamber insert (stainless + polymer),BOM,420,"Rated 5+ years / 1,000+ cycles"
Micro-pump + low-speed centrifuge motor,BOM,360,Water dosing + gravity-assist separation
Capacitive ethanol sensor,BOM,180,Same sensing principle as flex-fuel vehicles
ESP32 controller + PCB assembly,BOM,150,"Off-the-shelf MCU, locally assembled"
Coalescing filter cartridge (1st fit),BOM,140,"~150-cycle life, swap-and-go"
Desiccant cartridge + heater tray (1st fit),BOM,160,Regenerable 20+ times
"Tubing, seals, fittings, byproduct canister",BOM,110,Ethanol/water-contact rated
Retail packaging & printed insert,BOM,60,
"Assembly, labor & QC (pressure/leak test)",Assembly,350,
"Freight, warehousing & inbound logistics allocation",Logistics,90,
Warranty & post-sale service reserve (5% of landed cost),Reserve,114,5% of landed cost
